2018-02-21 12:18:29,005 INFO     DATA FORMATTER: Retrieved the pickle file tr21.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:18:43,173 INFO     Fold: 1, epoch: 0, batch: 21, Loss: 22.553608, Accuracy: 56.25000
2018-02-21 12:18:43,194 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr22.pickle 
2018-02-21 12:18:43,269 INFO     DATA FORMATTER: Retrieved the pickle file tr22.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:18:57,573 INFO     Fold: 1, epoch: 0, batch: 22, Loss: 13.979595, Accuracy: 48.43750
2018-02-21 12:18:57,593 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr23.pickle 
2018-02-21 12:18:57,674 INFO     DATA FORMATTER: Retrieved the pickle file tr23.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:19:12,082 INFO     Fold: 1, epoch: 0, batch: 23, Loss: 16.464083, Accuracy: 48.43750
2018-02-21 12:19:12,103 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr24.pickle 
2018-02-21 12:19:12,190 INFO     DATA FORMATTER: Retrieved the pickle file tr24.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:19:26,667 INFO     Fold: 1, epoch: 0, batch: 24, Loss: 19.814892, Accuracy: 48.43750
2018-02-21 12:19:26,687 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr25.pickle 
2018-02-21 12:19:26,766 INFO     DATA FORMATTER: Retrieved the pickle file tr25.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:19:41,425 INFO     Fold: 1, epoch: 0, batch: 25, Loss: 10.570299, Accuracy: 54.68750
2018-02-21 12:19:41,446 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr26.pickle 
2018-02-21 12:19:41,526 INFO     DATA FORMATTER: Retrieved the pickle file tr26.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:19:56,211 INFO     Fold: 1, epoch: 0, batch: 26, Loss: 14.992237, Accuracy: 54.68750
2018-02-21 12:19:56,231 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr27.pickle 
2018-02-21 12:19:56,314 INFO     DATA FORMATTER: Retrieved the pickle file tr27.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:20:10,870 INFO     Fold: 1, epoch: 0, batch: 27, Loss: 16.216841, Accuracy: 48.43750
2018-02-21 12:20:10,892 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr28.pickle 
2018-02-21 12:20:10,968 INFO     DATA FORMATTER: Retrieved the pickle file tr28.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:20:25,464 INFO     Fold: 1, epoch: 0, batch: 28, Loss: 13.998457, Accuracy: 57.81250
2018-02-21 12:20:25,485 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr29.pickle 
2018-02-21 12:20:25,561 INFO     DATA FORMATTER: Retrieved the pickle file tr29.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:20:40,212 INFO     Fold: 1, epoch: 0, batch: 29, Loss: 14.633912, Accuracy: 50.00000
2018-02-21 12:20:40,232 INFO     CHECKPOINT SAVER: Saving model updated parameters
2018-02-21 12:20:46,805 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr30.pickle 
2018-02-21 12:20:46,885 INFO     DATA FORMATTER: Retrieved the pickle file tr30.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:21:01,029 INFO     Fold: 1, epoch: 0, batch: 30, Loss: 8.893678, Accuracy: 56.25000
2018-02-21 12:21:01,044 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr31.pickle 
2018-02-21 12:21:01,098 INFO     DATA FORMATTER: Retrieved the pickle file tr31.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:21:15,485 INFO     Fold: 1, epoch: 0, batch: 31, Loss: 9.287014, Accuracy: 54.68750
2018-02-21 12:21:15,508 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr32.pickle 
